Publisher,Country
paon corporation,japan
kids station,japan
goa,japan
graphsim entertainment,estados unidos
king records,japan
introversion software,reino unido
minato station,japan
devolver digital,estados unidos
blue byte,alemania
gaga,japan
yamasa entertainment,japan
plenty,japan
views,japan
fonfun,japan
netrevo,japan
codemasters online,reino unido
quintet,japan
phoenix games,reino unido
dorart,japan
marvelous games,japan
focus multimedia,reino unido
imageworks,estados unidos
karin entertainment,japan
aerosoft,alemania
technos japan corporation,japan
gakken,japan
mirai shounen,japan
datam polystar,japan
saurus,japan
hunex,japan
revolution (japan),japan
giza10,japan
visco,japan
alvion,japan
mycom,japan
giga,japan
warashi,japan
system soft,japan
sold out,reino unido
lighthouse interactive,paises bajos
masque publishing,estados unidos
red entertainment,japan
michaelsoft,corea del sur
media entertainment,japan
new world computing,estados unidos
genterprise,japan
interworks unlimited- inc.,estados unidos
boost on,japan
stainless games,reino unido
eon digital entertainment,reino unido
epic games,estados unidos
naxat soft,japan
ascaron entertainment,alemania
piacci,japan
nitroplus,japan
paradox development,suecia
otomate,japan
ongakukan,japan
commseed,japan
inti creates,japan
takuyo,japan
interchannel-holon,japan
rain games,noruega
uig entertainment,alemania
topware interactive,alemania
marvel entertainment,estados unidos
certain,estados unidos
team17 software,reino unido
tradewest,estados unidos
mediaquest,arabia saudita
navarre corp,estados unidos
yeti,japon
interworks unlimited inc,estados unidos
phantagram,corea del sur
prototype,japon
pow,japon
nan,japon
monte christo multimedia,francia
technosoft,japon
misawa,japon
max five,francia
comfort,rusia
arika,japon
the learning company,estados unidos
